DISTRICT,FACILITY,TOTALS,MONTH,YEAR
BUKOMANSIMBI,BIGASA HC III,3,July,2022
BUKOMANSIMBI,BIGASA HC III,9,August,2022
BUKOMANSIMBI,BIGASA HC III,7,September,2022
BUKOMANSIMBI,BIGASA HC III,6,October,2022
BUKOMANSIMBI,BIGASA HC III,9,November,2022
BUKOMANSIMBI,BIGASA HC III,5,December,2022
BUKOMANSIMBI,BIGASA HC III,8,January,2023
BUKOMANSIMBI,BIGASA HC III,6,February,2023
BUKOMANSIMBI,BIGASA HC III,4,March,2023
BUKOMANSIMBI,BIGASA HC III,7,April,2023
BUKOMANSIMBI,BIGASA HC III,7,May,2023
BUKOMANSIMBI,BIGASA HC III,7,June,2023
BUKOMANSIMBI,BIGASA HC III,3,July,2023
BUKOMANSIMBI,BIGASA HC III,8,August,2023
BUKOMANSIMBI,BIGASA HC III,6,September,2023
BUKOMANSIMBI,BIGASA HC III,5,October,2023
BUKOMANSIMBI,BIGASA HC III,10,November,2023
BUKOMANSIMBI,BIGASA HC III,6,December,2023
BUKOMANSIMBI,BIGASA HC III,5,January,2024
BUKOMANSIMBI,BIGASA HC III,6,February,2024
BUKOMANSIMBI,BIGASA HC III,8,March,2024
BUKOMANSIMBI,BIGASA HC III,1,April,2024
BUKOMANSIMBI,BIGASA HC III,7,May,2024
BUKOMANSIMBI,BIGASA HC III,7,June,2024
BUKOMANSIMBI,BIGASA HC III,4,July,2024
KALANGALA,BUBEKE HC III,6,July,2022
KALANGALA,BUBEKE HC III,4,August,2022
KALANGALA,BUBEKE HC III,8,September,2022
KALANGALA,BUBEKE HC III,3,October,2022
KALANGALA,BUBEKE HC III,4,November,2022
KALANGALA,BUBEKE HC III,4,December,2022
KALANGALA,BUBEKE HC III,2,January,2023
KALANGALA,BUBEKE HC III,4,February,2023
KALANGALA,BUBEKE HC III,1,March,2023
KALANGALA,BUBEKE HC III,2,April,2023
KALANGALA,BUBEKE HC III,4,May,2023
KALANGALA,BUBEKE HC III,2,June,2023
KALANGALA,BUBEKE HC III,6,July,2023
KALANGALA,BUBEKE HC III,3,August,2023
KALANGALA,BUBEKE HC III,3,September,2023
KALANGALA,BUBEKE HC III,6,October,2023
KALANGALA,BUBEKE HC III,1,November,2023
KALANGALA,BUBEKE HC III,2,December,2023
KALANGALA,BUBEKE HC III,1,January,2024
KALANGALA,BUBEKE HC III,1,February,2024
KALANGALA,BUBEKE HC III,2,March,2024
KALANGALA,BUBEKE HC III,6,April,2024
KALANGALA,BUBEKE HC III,1,May,2024
KALANGALA,BUBEKE HC III,4,June,2024
KALANGALA,BUBEKE HC III,1,July,2024
KALANGALA,BUFUMIRA HC III,3,July,2022
KALANGALA,BUFUMIRA HC III,4,August,2022
KALANGALA,BUFUMIRA HC III,1,September,2022
KALANGALA,BUFUMIRA HC III,2,October,2022
KALANGALA,BUFUMIRA HC III,1,November,2022
KALANGALA,BUFUMIRA HC III,1,December,2022
KALANGALA,BUFUMIRA HC III,1,January,2023
KALANGALA,BUFUMIRA HC III,3,February,2023
KALANGALA,BUFUMIRA HC III,4,March,2023
KALANGALA,BUFUMIRA HC III,1,May,2023
KALANGALA,BUFUMIRA HC III,2,June,2023
KALANGALA,BUFUMIRA HC III,3,August,2023
KALANGALA,BUFUMIRA HC III,4,November,2023
KALANGALA,BUFUMIRA HC III,1,December,2023
KALANGALA,BUFUMIRA HC III,4,January,2024
KALANGALA,BUFUMIRA HC III,1,February,2024
KALANGALA,BUFUMIRA HC III,1,April,2024
KALANGALA,BUFUMIRA HC III,2,May,2024
KALANGALA,BUFUMIRA HC III,2,June,2024
KALANGALA,BUFUMIRA HC III,0,July,2024
MASAKA CITY,BUGABIRA HC II,1,August,2022
MASAKA CITY,BUGABIRA HC II,0,September,2022
MASAKA CITY,BUGABIRA HC II,0,October,2022
MASAKA CITY,BUGABIRA HC II,2,November,2022
MASAKA CITY,BUGABIRA HC II,0,December,2022
MASAKA CITY,BUGABIRA HC II,2,January,2023
MASAKA CITY,BUGABIRA HC II,1,February,2023
MASAKA CITY,BUGABIRA HC II,2,March,2023
MASAKA CITY,BUGABIRA HC II,0,April,2023
MASAKA CITY,BUGABIRA HC II,1,May,2023
MASAKA CITY,BUGABIRA HC II,1,June,2023
MASAKA CITY,BUGABIRA HC II,1,July,2023
MASAKA CITY,BUGABIRA HC II,1,August,2023
MASAKA CITY,BUGABIRA HC II,1,September,2023
MASAKA CITY,BUGABIRA HC II,0,October,2023
MASAKA CITY,BUGABIRA HC II,2,November,2023
MASAKA CITY,BUGABIRA HC II,0,January,2024
MASAKA CITY,BUGABIRA HC II,0,March,2024
MASAKA CITY,BUGABIRA HC II,1,May,2024
MASAKA CITY,BUGABIRA HC II,1,June,2024
MASAKA CITY,BUGABIRA HC II,0,July,2024
RAKAI,BUGONA HC II,1,March,2023
RAKAI,BUGONA HC II,1,May,2023
RAKAI,BUGONA HC II,1,June,2023
RAKAI,BUGONA HC II,2,August,2023
RAKAI,BUGONA HC II,1,December,2023
RAKAI,BUGONA HC II,2,March,2024
RAKAI,BUGONA HC II,1,May,2024
RAKAI,BUGONA HC II,1,July,2024
MPIGI,BUJUUKO HC III,2,August,2022
MPIGI,BUJUUKO HC III,1,September,2022
MPIGI,BUJUUKO HC III,1,October,2022
MPIGI,BUJUUKO HC III,1,November,2022
MPIGI,BUJUUKO HC III,2,December,2022
MPIGI,BUJUUKO HC III,1,January,2023
MPIGI,BUJUUKO HC III,1,February,2023
MPIGI,BUJUUKO HC III,2,March,2023
MPIGI,BUJUUKO HC III,1,April,2023
MPIGI,BUJUUKO HC III,0,June,2023
MPIGI,BUJUUKO HC III,3,July,2023
MPIGI,BUJUUKO HC III,0,August,2023
MPIGI,BUJUUKO HC III,0,September,2023
MPIGI,BUJUUKO HC III,1,December,2023
MPIGI,BUJUUKO HC III,2,April,2024
MPIGI,BUJUUKO HC III,4,June,2024
MPIGI,BUJUUKO HC III,1,July,2024
MASAKA DISTRICT,BUKAKATA HC III,5,July,2022
MASAKA DISTRICT,BUKAKATA HC III,4,August,2022
MASAKA DISTRICT,BUKAKATA HC III,2,September,2022
MASAKA DISTRICT,BUKAKATA HC III,3,October,2022
MASAKA DISTRICT,BUKAKATA HC III,7,November,2022
MASAKA DISTRICT,BUKAKATA HC III,2,December,2022
MASAKA DISTRICT,BUKAKATA HC III,5,January,2023
MASAKA DISTRICT,BUKAKATA HC III,7,February,2023
MASAKA DISTRICT,BUKAKATA HC III,10,March,2023
MASAKA DISTRICT,BUKAKATA HC III,4,April,2023
MASAKA DISTRICT,BUKAKATA HC III,5,May,2023
MASAKA DISTRICT,BUKAKATA HC III,3,June,2023
MASAKA DISTRICT,BUKAKATA HC III,5,July,2023
MASAKA DISTRICT,BUKAKATA HC III,5,August,2023
MASAKA DISTRICT,BUKAKATA HC III,7,September,2023
MASAKA DISTRICT,BUKAKATA HC III,8,October,2023
MASAKA DISTRICT,BUKAKATA HC III,5,November,2023
MASAKA DISTRICT,BUKAKATA HC III,4,December,2023
MASAKA DISTRICT,BUKAKATA HC III,8,January,2024
MASAKA DISTRICT,BUKAKATA HC III,6,February,2024
MASAKA DISTRICT,BUKAKATA HC III,5,March,2024
MASAKA DISTRICT,BUKAKATA HC III,6,April,2024
MASAKA DISTRICT,BUKAKATA HC III,5,May,2024
MASAKA DISTRICT,BUKAKATA HC III,3,June,2024
MASAKA DISTRICT,BUKAKATA HC III,8,July,2024
MPIGI,BUKASA HC II,2,July,2022
MPIGI,BUKASA HC II,2,August,2022
MPIGI,BUKASA HC II,0,September,2022
MPIGI,BUKASA HC II,3,October,2022
MPIGI,BUKASA HC II,1,November,2022
MPIGI,BUKASA HC II,0,December,2022
MPIGI,BUKASA HC II,1,January,2023
MPIGI,BUKASA HC II,1,February,2023
MPIGI,BUKASA HC II,1,March,2023
MPIGI,BUKASA HC II,3,May,2023
MPIGI,BUKASA HC II,0,July,2023
MPIGI,BUKASA HC II,4,October,2023
MPIGI,BUKASA HC II,1,January,2024
MPIGI,BUKASA HC II,1,March,2024
MPIGI,BUKASA HC II,0,April,2024
MPIGI,BUKASA HC II,1,May,2024
MPIGI,BUKASA HC II,2,June,2024
MPIGI,BUKASA HC II,1,July,2024
KALANGALA,BUKASA HC IV,0,July,2022
KALANGALA,BUKASA HC IV,5,August,2022
KALANGALA,BUKASA HC IV,8,September,2022
KALANGALA,BUKASA HC IV,6,October,2022
KALANGALA,BUKASA HC IV,4,November,2022
KALANGALA,BUKASA HC IV,2,December,2022
KALANGALA,BUKASA HC IV,3,January,2023
KALANGALA,BUKASA HC IV,6,February,2023
KALANGALA,BUKASA HC IV,4,March,2023
KALANGALA,BUKASA HC IV,6,April,2023
KALANGALA,BUKASA HC IV,4,May,2023
KALANGALA,BUKASA HC IV,7,June,2023
KALANGALA,BUKASA HC IV,6,July,2023
KALANGALA,BUKASA HC IV,9,August,2023
KALANGALA,BUKASA HC IV,3,September,2023
KALANGALA,BUKASA HC IV,13,October,2023
KALANGALA,BUKASA HC IV,6,November,2023
KALANGALA,BUKASA HC IV,3,December,2023
KALANGALA,BUKASA HC IV,6,January,2024
KALANGALA,BUKASA HC IV,7,February,2024
KALANGALA,BUKASA HC IV,3,March,2024
KALANGALA,BUKASA HC IV,3,April,2024
KALANGALA,BUKASA HC IV,8,May,2024
KALANGALA,BUKASA HC IV,4,June,2024
KALANGALA,BUKASA HC IV,0,July,2024
MASAKA DISTRICT,BUKEERI HC III,1,July,2022
MASAKA DISTRICT,BUKEERI HC III,3,August,2022
MASAKA DISTRICT,BUKEERI HC III,3,September,2022
MASAKA DISTRICT,BUKEERI HC III,1,October,2022
MASAKA DISTRICT,BUKEERI HC III,4,November,2022
MASAKA DISTRICT,BUKEERI HC III,3,December,2022
MASAKA DISTRICT,BUKEERI HC III,4,January,2023
MASAKA DISTRICT,BUKEERI HC III,2,February,2023
MASAKA DISTRICT,BUKEERI HC III,4,March,2023
MASAKA DISTRICT,BUKEERI HC III,6,April,2023
MASAKA DISTRICT,BUKEERI HC III,1,May,2023
MASAKA DISTRICT,BUKEERI HC III,3,June,2023
MASAKA DISTRICT,BUKEERI HC III,4,July,2023
MASAKA DISTRICT,BUKEERI HC III,3,August,2023
MASAKA DISTRICT,BUKEERI HC III,1,September,2023
MASAKA DISTRICT,BUKEERI HC III,3,October,2023
MASAKA DISTRICT,BUKEERI HC III,0,November,2023
MASAKA DISTRICT,BUKEERI HC III,5,December,2023
MASAKA DISTRICT,BUKEERI HC III,6,January,2024
MASAKA DISTRICT,BUKEERI HC III,2,March,2024
MASAKA DISTRICT,BUKEERI HC III,0,April,2024
MASAKA DISTRICT,BUKEERI HC III,4,May,2024
MASAKA DISTRICT,BUKEERI HC III,0,June,2024
MASAKA DISTRICT,BUKEERI HC III,4,July,2024
MASAKA CITY,BUKOTO HC III,3,July,2022
MASAKA CITY,BUKOTO HC III,2,August,2022
MASAKA CITY,BUKOTO HC III,3,September,2022
MASAKA CITY,BUKOTO HC III,3,October,2022
MASAKA CITY,BUKOTO HC III,2,November,2022
MASAKA CITY,BUKOTO HC III,0,December,2022
MASAKA CITY,BUKOTO HC III,2,January,2023
MASAKA CITY,BUKOTO HC III,2,February,2023
MASAKA CITY,BUKOTO HC III,1,March,2023
MASAKA CITY,BUKOTO HC III,2,April,2023
MASAKA CITY,BUKOTO HC III,2,May,2023
MASAKA CITY,BUKOTO HC III,1,June,2023
MASAKA CITY,BUKOTO HC III,1,September,2023
MASAKA CITY,BUKOTO HC III,4,October,2023
MASAKA CITY,BUKOTO HC III,3,November,2023
MASAKA CITY,BUKOTO HC III,1,December,2023
MASAKA CITY,BUKOTO HC III,2,January,2024
MASAKA CITY,BUKOTO HC III,2,February,2024
MASAKA CITY,BUKOTO HC III,3,March,2024
MASAKA CITY,BUKOTO HC III,2,April,2024
MASAKA CITY,BUKOTO HC III,2,May,2024
MASAKA CITY,BUKOTO HC III,2,June,2024
MASAKA CITY,BUKOTO HC III,6,July,2024
KALUNGU,BUKULULA HC IV,9,July,2022
KALUNGU,BUKULULA HC IV,12,August,2022
KALUNGU,BUKULULA HC IV,9,September,2022
KALUNGU,BUKULULA HC IV,12,October,2022
KALUNGU,BUKULULA HC IV,7,November,2022
KALUNGU,BUKULULA HC IV,8,December,2022
KALUNGU,BUKULULA HC IV,11,January,2023
KALUNGU,BUKULULA HC IV,5,February,2023
KALUNGU,BUKULULA HC IV,16,March,2023
KALUNGU,BUKULULA HC IV,7,April,2023
KALUNGU,BUKULULA HC IV,9,May,2023
KALUNGU,BUKULULA HC IV,10,June,2023
KALUNGU,BUKULULA HC IV,10,July,2023
KALUNGU,BUKULULA HC IV,11,August,2023
KALUNGU,BUKULULA HC IV,9,September,2023
KALUNGU,BUKULULA HC IV,11,October,2023
KALUNGU,BUKULULA HC IV,10,November,2023
KALUNGU,BUKULULA HC IV,8,December,2023
KALUNGU,BUKULULA HC IV,14,January,2024
KALUNGU,BUKULULA HC IV,9,February,2024
KALUNGU,BUKULULA HC IV,9,March,2024
KALUNGU,BUKULULA HC IV,10,April,2024
KALUNGU,BUKULULA HC IV,12,May,2024
KALUNGU,BUKULULA HC IV,4,June,2024
KALUNGU,BUKULULA HC IV,10,July,2024
BUTAMBALA,BULO HC III,1,July,2022
BUTAMBALA,BULO HC III,2,August,2022
BUTAMBALA,BULO HC III,2,September,2022
BUTAMBALA,BULO HC III,2,October,2022
BUTAMBALA,BULO HC III,4,November,2022
BUTAMBALA,BULO HC III,7,January,2023
BUTAMBALA,BULO HC III,5,February,2023
BUTAMBALA,BULO HC III,2,March,2023
BUTAMBALA,BULO HC III,2,April,2023
BUTAMBALA,BULO HC III,4,May,2023
BUTAMBALA,BULO HC III,4,June,2023
BUTAMBALA,BULO HC III,3,July,2023
BUTAMBALA,BULO HC III,4,August,2023
BUTAMBALA,BULO HC III,2,September,2023
BUTAMBALA,BULO HC III,1,October,2023
BUTAMBALA,BULO HC III,6,November,2023
BUTAMBALA,BULO HC III,2,December,2023
BUTAMBALA,BULO HC III,3,January,2024
BUTAMBALA,BULO HC III,6,February,2024
BUTAMBALA,BULO HC III,1,April,2024
BUTAMBALA,BULO HC III,3,June,2024
BUTAMBALA,BULO HC III,6,July,2024
WAKISO,BULONDO HC III,2,July,2022
WAKISO,BULONDO HC III,4,August,2022
WAKISO,BULONDO HC III,5,September,2022
WAKISO,BULONDO HC III,2,October,2022
WAKISO,BULONDO HC III,3,November,2022
WAKISO,BULONDO HC III,4,December,2022
WAKISO,BULONDO HC III,4,January,2023
WAKISO,BULONDO HC III,2,February,2023
WAKISO,BULONDO HC III,3,March,2023
WAKISO,BULONDO HC III,7,April,2023
WAKISO,BULONDO HC III,2,May,2023
WAKISO,BULONDO HC III,3,June,2023
WAKISO,BULONDO HC III,2,July,2023
WAKISO,BULONDO HC III,6,August,2023
WAKISO,BULONDO HC III,2,September,2023
WAKISO,BULONDO HC III,4,October,2023
WAKISO,BULONDO HC III,2,November,2023
WAKISO,BULONDO HC III,1,December,2023
WAKISO,BULONDO HC III,5,January,2024
WAKISO,BULONDO HC III,1,February,2024
WAKISO,BULONDO HC III,4,March,2024
WAKISO,BULONDO HC III,2,April,2024
WAKISO,BULONDO HC III,2,May,2024
WAKISO,BULONDO HC III,2,June,2024
GOMBA,BULWADDA HC III,6,September,2022
GOMBA,BULWADDA HC III,2,December,2022
GOMBA,BULWADDA HC III,2,February,2023
GOMBA,BULWADDA HC III,1,March,2023
GOMBA,BULWADDA HC III,1,April,2023
GOMBA,BULWADDA HC III,2,May,2023
GOMBA,BULWADDA HC III,1,June,2023
GOMBA,BULWADDA HC III,2,October,2023
GOMBA,BULWADDA HC III,1,November,2023
GOMBA,BULWADDA HC III,1,January,2024
GOMBA,BULWADDA HC III,1,February,2024
GOMBA,BULWADDA HC III,3,March,2024
GOMBA,BULWADDA HC III,2,May,2024
GOMBA,BULWADDA HC III,2,June,2024
GOMBA,BULWADDA HC III,1,July,2024
WAKISO,BUNAMWAYA HC II,2,August,2022
WAKISO,BUNAMWAYA HC II,1,September,2022
WAKISO,BUNAMWAYA HC II,1,January,2023
WAKISO,BUNAMWAYA HC II,1,February,2023
WAKISO,BUNAMWAYA HC II,2,May,2023
WAKISO,BUNAMWAYA HC II,1,June,2023
WAKISO,BUNAMWAYA HC II,1,July,2023
WAKISO,BUNAMWAYA HC II,1,September,2023
WAKISO,BUNAMWAYA HC II,0,October,2023
WAKISO,BUNAMWAYA HC II,0,November,2023
WAKISO,BUNAMWAYA HC II,1,January,2024
WAKISO,BUNAMWAYA HC II,3,February,2024
WAKISO,BUNAMWAYA HC II,0,March,2024
WAKISO,BUNAMWAYA HC II,1,April,2024
WAKISO,BUNAMWAYA HC II,1,May,2024
WAKISO,BUNAMWAYA HC II,1,June,2024
WAKISO,BUNAMWAYA HC II,0,July,2024
MPIGI,BUNJAKO HC III,5,July,2022
MPIGI,BUNJAKO HC III,4,August,2022
MPIGI,BUNJAKO HC III,1,September,2022
MPIGI,BUNJAKO HC III,3,October,2022
MPIGI,BUNJAKO HC III,3,November,2022
MPIGI,BUNJAKO HC III,4,December,2022
MPIGI,BUNJAKO HC III,7,January,2023
MPIGI,BUNJAKO HC III,5,February,2023
MPIGI,BUNJAKO HC III,2,March,2023
MPIGI,BUNJAKO HC III,9,April,2023
MPIGI,BUNJAKO HC III,5,May,2023
MPIGI,BUNJAKO HC III,6,June,2023
MPIGI,BUNJAKO HC III,3,July,2023
MPIGI,BUNJAKO HC III,4,August,2023
MPIGI,BUNJAKO HC III,4,September,2023
MPIGI,BUNJAKO HC III,1,October,2023
MPIGI,BUNJAKO HC III,2,November,2023
MPIGI,BUNJAKO HC III,1,December,2023
MPIGI,BUNJAKO HC III,7,January,2024
MPIGI,BUNJAKO HC III,6,February,2024
MPIGI,BUNJAKO HC III,5,March,2024
MPIGI,BUNJAKO HC III,4,April,2024
MPIGI,BUNJAKO HC III,3,May,2024
MPIGI,BUNJAKO HC III,3,June,2024
MPIGI,BUNJAKO HC III,2,July,2024
WAKISO,BUSAWAMANZE HC III,2,August,2022
WAKISO,BUSAWAMANZE HC III,3,September,2022
WAKISO,BUSAWAMANZE HC III,2,October,2022
WAKISO,BUSAWAMANZE HC III,5,November,2022
WAKISO,BUSAWAMANZE HC III,4,December,2022
WAKISO,BUSAWAMANZE HC III,2,February,2023
WAKISO,BUSAWAMANZE HC III,1,March,2023
WAKISO,BUSAWAMANZE HC III,0,April,2023
WAKISO,BUSAWAMANZE HC III,1,May,2023
WAKISO,BUSAWAMANZE HC III,1,June,2023
WAKISO,BUSAWAMANZE HC III,2,July,2023
WAKISO,BUSAWAMANZE HC III,1,September,2023
WAKISO,BUSAWAMANZE HC III,0,November,2023
WAKISO,BUSAWAMANZE HC III,1,December,2023
WAKISO,BUSAWAMANZE HC III,3,January,2024
WAKISO,BUSAWAMANZE HC III,5,February,2024
WAKISO,BUSAWAMANZE HC III,3,March,2024
WAKISO,BUSAWAMANZE HC III,3,April,2024
WAKISO,BUSAWAMANZE HC III,3,May,2024
WAKISO,BUSAWAMANZE HC III,1,June,2024
WAKISO,BUSAWAMANZE HC III,3,July,2024
SEMBABULE,BUSHEKA HC III,2,July,2022
SEMBABULE,BUSHEKA HC III,2,September,2022
SEMBABULE,BUSHEKA HC III,2,October,2022
SEMBABULE,BUSHEKA HC III,0,November,2022
SEMBABULE,BUSHEKA HC III,0,December,2022
SEMBABULE,BUSHEKA HC III,2,January,2023
SEMBABULE,BUSHEKA HC III,1,February,2023
SEMBABULE,BUSHEKA HC III,1,March,2023
SEMBABULE,BUSHEKA HC III,1,April,2023
SEMBABULE,BUSHEKA HC III,1,May,2023
SEMBABULE,BUSHEKA HC III,1,July,2023
SEMBABULE,BUSHEKA HC III,4,August,2023
SEMBABULE,BUSHEKA HC III,2,September,2023
SEMBABULE,BUSHEKA HC III,3,October,2023
SEMBABULE,BUSHEKA HC III,3,November,2023
SEMBABULE,BUSHEKA HC III,2,December,2023
SEMBABULE,BUSHEKA HC III,6,January,2024
SEMBABULE,BUSHEKA HC III,3,February,2024
SEMBABULE,BUSHEKA HC III,3,March,2024
SEMBABULE,BUSHEKA HC III,2,April,2024
SEMBABULE,BUSHEKA HC III,1,May,2024
SEMBABULE,BUSHEKA HC III,3,June,2024
SEMBABULE,BUSHEKA HC III,6,July,2024
WAKISO,BUSSI HC III,2,July,2022
WAKISO,BUSSI HC III,3,August,2022
WAKISO,BUSSI HC III,4,September,2022
WAKISO,BUSSI HC III,1,October,2022
WAKISO,BUSSI HC III,1,November,2022
WAKISO,BUSSI HC III,6,December,2022
WAKISO,BUSSI HC III,2,January,2023
WAKISO,BUSSI HC III,6,February,2023
WAKISO,BUSSI HC III,4,March,2023
WAKISO,BUSSI HC III,2,April,2023
WAKISO,BUSSI HC III,4,June,2023
WAKISO,BUSSI HC III,2,July,2023
WAKISO,BUSSI HC III,1,August,2023
WAKISO,BUSSI HC III,2,September,2023
WAKISO,BUSSI HC III,2,October,2023
WAKISO,BUSSI HC III,4,November,2023
WAKISO,BUSSI HC III,4,December,2023
WAKISO,BUSSI HC III,2,January,2024
WAKISO,BUSSI HC III,2,February,2024
WAKISO,BUSSI HC III,3,March,2024
WAKISO,BUSSI HC III,1,April,2024
WAKISO,BUSSI HC III,3,May,2024
WAKISO,BUSSI HC III,3,June,2024
WAKISO,BUSSI HC III,7,July,2024
BUTAMBALA,BUTAAKA HC III,1,August,2022
BUTAMBALA,BUTAAKA HC III,1,September,2022
BUTAMBALA,BUTAAKA HC III,1,October,2022
BUTAMBALA,BUTAAKA HC III,2,November,2022
BUTAMBALA,BUTAAKA HC III,2,January,2023
BUTAMBALA,BUTAAKA HC III,1,February,2023
BUTAMBALA,BUTAAKA HC III,1,March,2023
BUTAMBALA,BUTAAKA HC III,1,May,2023
BUTAMBALA,BUTAAKA HC III,1,June,2023
BUTAMBALA,BUTAAKA HC III,1,August,2023
BUTAMBALA,BUTAAKA HC III,1,September,2023
BUTAMBALA,BUTAAKA HC III,3,October,2023
BUTAMBALA,BUTAAKA HC III,4,November,2023
BUTAMBALA,BUTAAKA HC III,4,January,2024
BUTAMBALA,BUTAAKA HC III,1,February,2024
BUTAMBALA,BUTAAKA HC III,3,March,2024
BUTAMBALA,BUTAAKA HC III,2,April,2024
BUTAMBALA,BUTAAKA HC III,2,May,2024
BUTAMBALA,BUTAAKA HC III,2,July,2024
BUKOMANSIMBI,BUTENGA HC IV,9,July,2022
BUKOMANSIMBI,BUTENGA HC IV,7,August,2022
BUKOMANSIMBI,BUTENGA HC IV,5,September,2022
BUKOMANSIMBI,BUTENGA HC IV,11,October,2022
BUKOMANSIMBI,BUTENGA HC IV,6,November,2022
BUKOMANSIMBI,BUTENGA HC IV,7,December,2022
BUKOMANSIMBI,BUTENGA HC IV,13,January,2023
BUKOMANSIMBI,BUTENGA HC IV,12,February,2023
BUKOMANSIMBI,BUTENGA HC IV,8,March,2023
BUKOMANSIMBI,BUTENGA HC IV,9,April,2023
BUKOMANSIMBI,BUTENGA HC IV,15,May,2023
BUKOMANSIMBI,BUTENGA HC IV,12,June,2023
BUKOMANSIMBI,BUTENGA HC IV,13,July,2023
BUKOMANSIMBI,BUTENGA HC IV,13,August,2023
BUKOMANSIMBI,BUTENGA HC IV,9,September,2023
BUKOMANSIMBI,BUTENGA HC IV,20,October,2023
BUKOMANSIMBI,BUTENGA HC IV,12,November,2023
BUKOMANSIMBI,BUTENGA HC IV,8,December,2023
BUKOMANSIMBI,BUTENGA HC IV,16,January,2024
BUKOMANSIMBI,BUTENGA HC IV,9,February,2024
BUKOMANSIMBI,BUTENGA HC IV,4,March,2024
BUKOMANSIMBI,BUTENGA HC IV,12,April,2024
BUKOMANSIMBI,BUTENGA HC IV,9,May,2024
BUKOMANSIMBI,BUTENGA HC IV,16,June,2024
RAKAI,BUTITI HC II,2,January,2023
RAKAI,BUTITI HC II,3,February,2023
RAKAI,BUTITI HC II,1,April,2023
RAKAI,BUTITI HC II,2,May,2023
RAKAI,BUTITI HC II,4,June,2023
RAKAI,BUTITI HC II,2,August,2023
RAKAI,BUTITI HC II,2,September,2023
RAKAI,BUTITI HC II,1,October,2023
RAKAI,BUTITI HC II,5,November,2023
RAKAI,BUTITI HC II,1,December,2023
RAKAI,BUTITI HC II,1,January,2024
RAKAI,BUTITI HC II,1,February,2024
RAKAI,BUTITI HC II,3,March,2024
RAKAI,BUTITI HC II,1,April,2024
RAKAI,BUTITI HC II,2,May,2024
MPIGI,BUTOOLO HC III,6,July,2022
MPIGI,BUTOOLO HC III,9,August,2022
MPIGI,BUTOOLO HC III,2,September,2022
MPIGI,BUTOOLO HC III,2,October,2022
MPIGI,BUTOOLO HC III,6,November,2022
MPIGI,BUTOOLO HC III,4,December,2022
MPIGI,BUTOOLO HC III,5,January,2023
MPIGI,BUTOOLO HC III,7,February,2023
MPIGI,BUTOOLO HC III,5,March,2023
MPIGI,BUTOOLO HC III,4,April,2023
MPIGI,BUTOOLO HC III,14,May,2023
MPIGI,BUTOOLO HC III,5,June,2023
MPIGI,BUTOOLO HC III,11,July,2023
MPIGI,BUTOOLO HC III,4,August,2023
MPIGI,BUTOOLO HC III,8,September,2023
MPIGI,BUTOOLO HC III,9,October,2023
MPIGI,BUTOOLO HC III,7,November,2023
MPIGI,BUTOOLO HC III,4,December,2023
MPIGI,BUTOOLO HC III,8,January,2024
MPIGI,BUTOOLO HC III,5,February,2024
MPIGI,BUTOOLO HC III,7,March,2024
MPIGI,BUTOOLO HC III,8,April,2024
MPIGI,BUTOOLO HC III,7,May,2024
MPIGI,BUTOOLO HC III,12,June,2024
MPIGI,BUTOOLO HC III,3,July,2024
MPIGI,BUWAMA HC III,18,July,2022
MPIGI,BUWAMA HC III,15,August,2022
MPIGI,BUWAMA HC III,14,September,2022
MPIGI,BUWAMA HC III,16,October,2022
MPIGI,BUWAMA HC III,16,November,2022
MPIGI,BUWAMA HC III,6,December,2022
MPIGI,BUWAMA HC III,20,January,2023
MPIGI,BUWAMA HC III,16,February,2023
MPIGI,BUWAMA HC III,15,March,2023
MPIGI,BUWAMA HC III,14,April,2023
MPIGI,BUWAMA HC III,17,May,2023
MPIGI,BUWAMA HC III,12,June,2023
MPIGI,BUWAMA HC III,18,July,2023
MPIGI,BUWAMA HC III,18,August,2023
MPIGI,BUWAMA HC III,13,September,2023
MPIGI,BUWAMA HC III,17,October,2023
MPIGI,BUWAMA HC III,27,November,2023
MPIGI,BUWAMA HC III,7,December,2023
MPIGI,BUWAMA HC III,14,January,2024
MPIGI,BUWAMA HC III,10,February,2024
MPIGI,BUWAMA HC III,27,March,2024
MPIGI,BUWAMA HC III,16,April,2024
MPIGI,BUWAMA HC III,12,May,2024
MPIGI,BUWAMA HC III,14,June,2024
MPIGI,BUWAMA HC III,18,July,2024
WAKISO,BUWAMBO HC IV,9,July,2022
WAKISO,BUWAMBO HC IV,11,August,2022
WAKISO,BUWAMBO HC IV,10,September,2022
WAKISO,BUWAMBO HC IV,10,October,2022
WAKISO,BUWAMBO HC IV,8,November,2022
WAKISO,BUWAMBO HC IV,4,December,2022
WAKISO,BUWAMBO HC IV,6,January,2023
WAKISO,BUWAMBO HC IV,3,February,2023
WAKISO,BUWAMBO HC IV,12,March,2023
WAKISO,BUWAMBO HC IV,3,April,2023
WAKISO,BUWAMBO HC IV,7,May,2023
WAKISO,BUWAMBO HC IV,13,June,2023
WAKISO,BUWAMBO HC IV,9,July,2023
WAKISO,BUWAMBO HC IV,6,August,2023
WAKISO,BUWAMBO HC IV,15,September,2023
WAKISO,BUWAMBO HC IV,14,October,2023
WAKISO,BUWAMBO HC IV,12,November,2023
WAKISO,BUWAMBO HC IV,6,December,2023
WAKISO,BUWAMBO HC IV,14,January,2024
